,f,v_gen,v_in,v_out,phase
0,1000.0,0.0,0.305,0.304,-0.027883437019767986
1,3004.7969173430565,0.0,0.3085,0.301,3.5470509999999997
2,9028.804514474346,0.0,0.3085,0.298,5.467934699999999
3,27129.723972385615,1.796875,0.2995,0.2825,14.569588000000001
4,81519.31096059232,1.5625,0.301,0.238,32.591408
5,244948.97427831788,0.9375,0.30299995,0.1235,64.36990899999999
6,736021.9228178333,0.625,0.299,0.0395,74.59352600000001
7,2211596.4047799343,0.5859375,0.306,0.0156,-49.940049
8,6645398.0594897475,0.703125,0.297,0.073,-82.85454200000001
9,19968071.603672326,1.40625,0.301,0.196,-59.532774999999994
10,60000000.0,4.375,0.2975,0.396,-26.937441999999997
